241701.41;3783.63;582813.78;199811.30;91473.33;02-05-2021;13:00:02
241701.41;3783.63;582813.78;199811.30;91473.33;02-05-2021;18:00:02
246198.11;3783.63;582813.78;205297.27;91473.33;03-05-2021;13:00:02
246198.11;3783.63;584948.32;205297.27;96388.91;03-05-2021;18:00:02
246486.89;3832.63;582598.52;190075.25;96388.91;04-05-2021;13:00:02
246988.05;3857.63;564718.77;190468.25;96588.91;04-05-2021;18:00:02
247698.04;3857.63;528264.06;173583.87;96588.91;05-05-2021;13:00:02
247780.15;3872.63;528264.06;173680.98;96588.91;05-05-2021;18:00:02
249871.27;3872.63;528619.79;174107.60;96588.91;06-05-2021;13:00:02
251793.47;3872.63;529348.86;176452.69;97186.51;06-05-2021;18:00:02
251889.92;3872.63;529348.86;175156.09;97186.51;07-05-2021;13:00:02
252604.34;4627.63;532207.56;176625.51;99529.71;07-05-2021;18:00:02
253936.97;4627.63;532207.56;178251.32;99529.71;08-05-2021;13:00:02
253936.97;4627.63;532207.56;178251.32;99529.71;08-05-2021;18:00:02
253936.97;4627.63;532207.56;178251.32;99529.71;09-05-2021;13:00:02
253936.97;4627.63;532207.56;178251.32;99529.71;09-05-2021;18:00:02
254339.19;4647.63;532207.56;178680.05;99529.71;10-05-2021;13:00:02
254339.19;4647.63;532329.60;176297.67;99778.91;10-05-2021;18:00:02
254339.19;4647.63;532329.60;176297.67;99778.91;11-05-2021;13:00:02
255818.78;4672.63;532329.60;174450.64;99778.91;11-05-2021;18:00:02
257190.22;4718.13;553352.68;174370.07;120801.99;12-05-2021;13:00:02
257190.22;4718.13;553352.68;174370.07;120801.99;12-05-2021;18:00:02
259354.69;4757.13;553352.68;176898.82;120801.99;13-05-2021;13:00:02
260417.61;4769.63;553352.68;178212.29;120801.99;13-05-2021;18:00:02
260784.93;4769.63;553144.77;176109.15;120801.99;14-05-2021;13:00:02
263555.63;4769.63;554463.61;179129.42;120801.99;14-05-2021;18:00:02
263555.63;4769.63;554463.61;179129.42;120801.99;15-05-2021;13:00:02
263555.63;4769.63;554463.61;179129.42;120801.99;15-05-2021;18:00:02
263555.63;4769.63;554463.61;179129.42;120801.99;16-05-2021;13:00:02
